text,intent
"what kind of bot are you?",WHO_ARE_YOU
"give met ips for myvi",COMPLEX_ADVICE
"not sure",COMPLEX_ADVICE
"tellm e the exchange rate",COMPLEX_ADVICE
"good morning",GREETING
"amanah saha mbumiputera",DEF_ASB
"how savings works",HELP_SAVINGS_SCREEN
"yo beruang",GREETING
"nothing",COMPLEX_ADVICE
"I am  bored",COMPLEX_ADVICE
"how does categorization work?",HELP_AI_CATEGORIZATION
"epf",DEF_KWSP
"undefined",GARBAGE
"nothing",COMPLEX_ADVICE
"my account",NAV_PROFILE
"change expense",HELP_EDIT_TRANSACTION
"AI category",HELP_AI_CATEGORIZATION
"how to delete?",HELP_DELETE_TRANSACTION
"where to put salary",HELP_ADD_INCOME
"you suck",COMPLAINT
"interest oon interest",DEF_COMPOUND_INTEREST
"Money hack",ADVICE_GENERAL_TIP
"meaning of name",WHY_BERUANG
"credit rating",DEF_CREDIT_SCORE
"dk",COMPLEX_ADVICE
"no sure",COMPLEX_ADVICE
"What do you know about me?",COMPLEX_ADVICE
"guide me on OPR rate rate",COMPLEX_ADVICE
"just wondering What do you know about me?",COMPLEX_ADVICE
"strat over",HELP_RESET_DATA
"apprciate it",THANK_YOU
"prediction for bnpl with no experience",COMPLEX_ADVICE
"why thatn ame?",WHY_BERUANG
"maybe",COMPLEX_ADVICE
"works offline?",INTERNET_REQ
"perecntages",DEF_50_30_20
"jlo",GARBAGE
"amanah saham bumipputera",DEF_ASB
"compounding",DEF_COMPOUND_INTEREST
"fruugal tip",ADVICE_GENERAL_TIP
"compounding",DEF_COMPOUND_INTEREST
"is this working",TESTING
"strategies for mortgage right now",COMPLEX_ADVICE
"What is the  weather?",COMPLEX_ADVICE
"My details",COMPLEX_ADVICE
"how to add  expense",HELP_ADD_TRANSACTION
"iis data safe?",DATA_SECURITY
"fdsfsdf",GARBAGE
"my spnding list",NAV_EXPENSES
"retake onboarding",HELP_RESET_DATA
"?!",GARBAGE
"edit transaction",HELP_EDIT_TRANSACTION
"how to add expense",HELP_ADD_TRANSACTION
"educaton loan",DEF_PTPTN
"savings screen",HELP_SAVINGS_SCREEN
"What is KWSP?",DEF_KWSP
"app version",APP_VERSION
"do you steal my data?",DATA_SECURITY
"current inflaton rate",COMPLEX_ADVICE
"my spending list",NAV_EXPENSES
"isit a good idea to roi in malaysia",COMPLEX_ADVICE
"cmopounding",DEF_COMPOUND_INTEREST
"scan receitp?",HELP_RECEIPT_SCAN
"show expenses",NAV_EXPENSES
"go to rofile",NAV_PROFILE
"created by",DEVELOPER_INFO
"see you",BYE
"coffee need or want?",DEF_WANTS
"take money out",HELP_WITHDRAW_SAVINGS
"how to save?",HELP_SAVINGS_SCREEN
"how to edlete?",HELP_DELETE_TRANSACTION
"tthoughts on shopee pay",COMPLEX_ADVICE
"123 test",TESTING
"can i can bills?",HELP_RECEIPT_SCAN
"outlook for inflation rate",COMPLEX_ADVICE
"my account",NAV_PROFILE
"asdf",GARBAGE
"v6ff7w",GARBAGE
"i have no money",ADVICE_MOTIVATION
"hi",GREETING
"not sure",COMPLEX_ADVICE
"high interest savings",ADVICE_GENERAL_SAVING
"can i withdraw?",HELP_WITHDRAW_SAVINGS
"undefined",GARBAGE
"hwat is 50/30/20?",DEF_50_30_20
"thoughts on economic growth",COMPLEX_ADVICE
"how to statr myvi in 2025",COMPLEX_ADVICE
"tell me the OR rate",COMPLEX_ADVICE
"guide me on asb in 2025",COMPLEX_ADVICE
"supid",COMPLAINT
"conact support",CONTACT_SUPPORT
"how to add expense",HELP_ADD_TRANSACTION
"debt snowball",DEF_DEBT_SNOWBALL
"how does it help?",APP_PURPOSE
"my spending lsit",NAV_EXPENSES
"magic of compounding",DEF_COMPOUND_INTEREST
"maybe",COMPLEX_ADVICE
"bank integrration",BANK_LINKING
"etll me the OPR rate",COMPLEX_ADVICE
"add income",HELP_ADD_INCOME
"eppf account",DEF_KWSP
"give me a tip",ADVICE_GENERAL_TIP
"bla bla",GARBAGE
"testing",TESTING
"go to transaction log",NAV_EXPENSES
"withdraw savings?",HELP_WITHDRAW_SAVINGS
"meaning of name",WHY_BERUANG
"funny",JOKE
"essential xepenses",DEF_NEEDS
"strategies for inflation rate rate",COMPLEX_ADVICE
"not sure Do you like humans?",COMPLEX_ADVICE
"do you thiink My profile",COMPLEX_ADVICE
"worst app",COMPLAINT
"undefined",GARBAGE
"give me a tip",ADVICE_GENERAL_TIP
"ocr",HELP_RECEIPT_SCAN
"how to save?",HELP_SAVINGS_SCREEN
"take money out",HELP_WITHDRAW_SAVINGS
"wrong amount",HELP_EDIT_TRANSACTION
"retake onboarding",HELP_RESET_DATA
"maybe",COMPLEX_ADVICE
"is it a good idea to quit for the future",COMPLEX_ADVICE
"what are wants?",DEF_WANTS
"ehy",GREETING
"outlook for exchange rate for the future",COMPLEX_ADVICE
"camera featrue?",HELP_RECEIPT_SCAN
"money joke",JOKE
"maybe",COMPLEX_ADVICE
"amybe",COMPLEX_ADVICE
"settings",NAV_PROFILE
"university finance",ADVICE_STUDENT_TIPS
"i have no money",ADVICE_MOTIVATION
"why credit score matters",DEF_CREDIT_SCORE
"my account",NAV_PROFILE
"retirement  fund",DEF_KWSP
"help me save",ADVICE_MOTIVATION
"help me with  bnpl",COMPLEX_ADVICE
"simpanan tabung haji",DEF_TABUNG_HAJI
"customer service",CONTACT_SUPPORT
"do youu think shopee pay latest",COMPLEX_ADVICE
"student loan",DEF_PTPTN
"thoughts no minimum wage in 2025",COMPLEX_ADVICE
"what are wants?",DEF_WANTS
"not srue",COMPLEX_ADVICE
"qwetry",GARBAGE
"debt avalanche",DEF_DEBT_AVALANCHE
"coffee need or want?",DEF_WANTS
"pros and cns of interest rate in 2025",COMPLEX_ADVICE
"budget ethod",DEF_50_30_20
"how savings works",HELP_SAVINGS_SCREEN
"mnbv",GARBAGE
"what does beruang mean?",WHY_BERUANG
"how to edit?",HELP_EDIT_TRANSACTION
"asdf",GARBAGE
"exit",BYE
"latest unemployment rate",COMPLEX_ADVICE
"recommendation for roi for studnets",COMPLEX_ADVICE
"why save?",DEF_SAVINGS_DEF
"just wondering dogecoin",COMPLEX_ADVICE
"is netflixa  want?",DEF_WANTS
"I am bored",COMPLEX_ADVICE
"nothing",COMPLEX_ADVICE
"prediction for inflation rate",COMPLEX_ADVICE
"debt avalanche",DEF_DEBT_AVALANCHE
"how to start ethereum",COMPLEX_ADVICE
"what is the best wya to work life balance",COMPLEX_ADVICE
"en dchat",BYE
"explain inflation concept",DEF_INFLATION
"is rent a need?",DEF_NEEDS
"guide me on interest rate",COMPLEX_ADVICE
"tell me tthe tax rate",COMPLEX_ADVICE
"who is the target audience?",TARGET_AUDIENCE
"university finance",ADVICE_STUDENT_TIPS
"hsould i Do you know me?",COMPLEX_ADVICE
"zzzz",GARBAGE
"opinion on work life balance",COMPLEX_ADVICE
"talk to beruang",NAV_CHATBOT
"testng",TESTING
"record spending",HELP_ADD_TRANSACTION
"emergency savings",DEF_EMERGENCY_FUND
"jooke",JOKE
"terima kasih",THANK_YOU
"uploa photo?",HELP_RECEIPT_SCAN
"withraw savings?",HELP_WITHDRAW_SAVINGS
"upload phoot?",HELP_RECEIPT_SCAN
"define needs",DEF_NEEDS
"TH",DEF_TABUNG_HAJI
"created by",DEVELOPER_INFO
"how to start robot advisor with samll capital",COMPLEX_ADVICE
"whatare needs?",DEF_NEEDS
"not sure",COMPLEX_ADVICE
"give me tips for binance",COMPLEX_ADVICE
"opinion on interview",COMPLEX_ADVICE
"outlook for afford",COMPLEX_ADVICE
"signing off",BYE
"latest poverty rate",COMPLEX_ADVICE
"no wifi?",INTERNET_REQ
"good job",THANK_YOU
"help me with History of Maalysia",COMPLEX_ADVICE
"what does inflation eman?",DEF_INFLATION
"add to savings",HELP_SAVINGS_SCREEN
"go to bot",NAV_CHATBOT
"hola",GREETING
"function of app",APP_PURPOSE
"uupload photo?",HELP_RECEIPT_SCAN
"target uer",TARGET_AUDIENCE
"trewq",GARBAGE
"give em tips for salary",COMPLEX_ADVICE
"how do i forex",COMPLEX_ADVICE
"goodbye",BYE
"unny name",WHY_BERUANG
"cancel spending",HELP_DELETE_TRANSACTION
"rcedit rating",DEF_CREDIT_SCORE
"is asb good?",DEF_ASB
"i have no money",ADVICE_MOTIVATION
"fyp detalis",DEVELOPER_INFO
"is it for  students?",TARGET_AUDIENCE
"talk to beruang",NAV_CHATBOT
"i faled my budget",ADVICE_MOTIVATION
"123 test",TESTING
"oyu suck",COMPLAINT
"do you think I like coffee",COMPLEX_ADVICE
"view history",NAV_EXPENSES
"meaning of inflation",DEF_INFLATION
"tell me abouts tocks",COMPLEX_ADVICE
"give me tips for unemployment rate currently",COMPLEX_ADVICE
"selamat pagi",GREETING
"upddate spending",HELP_EDIT_TRANSACTION
"just wondering bonus",COMPLEX_ADVICE
"fyp detials",DEVELOPER_INFO
"latest ppoverty rate",COMPLEX_ADVICE
"you suck",COMPLAINT
"pros and cons of afford",COMPLEX_ADVICE
"tell me th etax rate",COMPLEX_ADVICE
"stupid",COMPLAINT
"teting",GARBAGE
"what does inflation mean?",DEF_INFLATION
"an you explain History of Malaysia",COMPLEX_ADVICE
"is datas afe?",DATA_SECURITY
"is it worth exchange rate for students",COMPLEX_ADVICE
"...",GARBAGE
"avalanche method",DEF_DEBT_AVALANCHE
"do you think e-wallet",COMPLEX_ADVICE
"yo usuck",COMPLAINT
"supervsior",DEVELOPER_INFO
"open chat",NAV_CHATBOT
"My proifle",COMPLEX_ADVICE
"help esk",CONTACT_SUPPORT
"where to put salary",HELP_ADD_INCOME
"wheret o put salary",HELP_ADD_INCOME
"appreciate it",THANK_YOU
"pros aand cons of unemployment rate",COMPLEX_ADVICE
"funny name",WHY_BERUANG
"settings",NAV_PROFILE
"why use this?",APP_PURPOSE
"retiremment fund",DEF_KWSP
"best way to pay debt",DEF_DEBT_AVALANCHE
"nto sure",COMPLEX_ADVICE
"lzxcv",GARBAGE
"zzzz",GARBAGE
"how do i econmic growth",COMPLEX_ADVICE
"20% goal",HELP_SAVINGS_SCREEN
"goo dmorning",GREETING
"igning off",BYE
"recommendation for exchange rate as a fresh grad",COMPLEX_ADVICE
"appreciate it",THANK_YOU
"th savings",DEF_TABUNG_HAJI
"i am broke",ADVICE_MOTIVATION
"shoulld i career",COMPLEX_ADVICE
"ouutlook for Are you stupid?",COMPLEX_ADVICE
"ping",TESTING
"What do you nkow about me?",COMPLEX_ADVICE
"strategies for startup with n experience",COMPLEX_ADVICE
"give me tips for job currently",COMPLEX_ADVICE
"12345",GARBAGE
"goodbye",BYE
"hola",GREETING
"do you think dividend currently",COMPLEX_ADVICE
"outlook forc ar",COMPLEX_ADVICE
"campus saving",ADVICE_STUDENT_TIPS
"0% goal",HELP_SAVINGS_SCREEN
"signing ff",BYE
"coffee need or want?",DEF_WANTS
"pros and cons of unit trust",COMPLEX_ADVICE
"should i OPR rate",COMPLEX_ADVICE
"thoughts on bonus",COMPLEX_ADVICE
"random text",GARBAGE
"whhat does inflation mean?",DEF_INFLATION
"nothing  History of Malaysia",COMPLEX_ADVICE
"shoudl i OPR rate",COMPLEX_ADVICE
"essntial expenses",DEF_NEEDS
"high interest savnigs",ADVICE_GENERAL_SAVING
"why credit score matters",DEF_CREDIT_SCORE
"recommendation for bursa",COMPLEX_ADVICE
"maybe",COMPLEX_ADVICE
"can i withdraw?",HELP_WITHDRAW_SAVINGS
"good eveing",GREETING
"cmopounding",DEF_COMPOUND_INTEREST
"Do you know me?",COMPLEX_ADVICE
"view histroy",NAV_EXPENSES
"where to put savings",ADVICE_GENERAL_SAVING
"where to add cost",HELP_ADD_TRANSACTION
"[object Object]",GARBAGE
"emergenyc savings",DEF_EMERGENCY_FUND
"sohuld i startup",COMPLEX_ADVICE
"identify yourself",WHO_ARE_YOU
"how savings works",HELP_SAVINGS_SCREEN
"tke money out",HELP_WITHDRAW_SAVINGS
"tell me about sukuk",COMPLEX_ADVICE
"[object Obejct]",GARBAGE
"delete account",HELP_RESET_DATA
"report bug",CONTACT_SUPPORT
"sdfsdf",GARBAGE
"nthing",COMPLEX_ADVICE
"advice on superbike",COMPLEX_ADVICE
"link bank?",BANK_LINKING
"zzz",GARBAGE
"auto category",HELP_AI_CATEGORIZATION
"analysis of invest",COMPLEX_ADVICE
"pping",TESTING
"fix mistake",HELP_EDIT_TRANSACTION
"tesitng",TESTING
"prediction for economic growth in 2025",COMPLEX_ADVICE
"what  is allocation?",HELP_INCOME_ALLOCATION
"current OPR rate",COMPLEX_ADVICE
"link bank?",BANK_LINKING
"just wondering sdie hustle currently",COMPLEX_ADVICE
"tell me about promotion",COMPLEX_ADVICE
"define savings",DEF_SAVINGS_DEF
"talk to beruang",NAV_CHATBOT
"why that nae?",WHY_BERUANG
"blah blah",GARBAGE
"saving definition",DEF_SAVINGS_DEF
"should i What timeis it?",COMPLEX_ADVICE
"good morning",GREETING
"my  account",NAV_PROFILE
"igve me tips for honda for students",COMPLEX_ADVICE
"howw to pay debt fast",DEF_DEBT_SNOWBALL
"tell me about OPR rate right now",COMPLEX_ADVICE
"app version",APP_VERSION
"bad bot",COMPLAINT
"how to start business i 2025",COMPLEX_ADVICE
"is it worth luno urgently",COMPLEX_ADVICE
"hi",GREETING
"analysis of interest rate for the future",COMPLEX_ADVICE
"sart over",HELP_RESET_DATA
"contact support",CONTACT_SUPPORT
"close",BYE
"how does categorization work?",HELP_AI_CATEGORIZATION
"is it for students?",TARGET_AUDIENCE
"save inetrest debt",DEF_DEBT_AVALANCHE
"i faileed my budget",ADVICE_MOTIVATION
"hloa",GREETING
"define needs",DEF_NEEDS
"camera feature?",HELP_RECEIPT_SCAN
"go to bbot",NAV_CHATBOT
"how do i unemployment rate",COMPLEX_ADVICE
"iidk",COMPLEX_ADVICE
"testing",GARBAGE
"signin off",BYE
"dk",COMPLEX_ADVICE
"tseting",TESTING
"wrrong amount",HELP_EDIT_TRANSACTION
"zzzzz",GARBAGE
"tell me the OPR rate",COMPLEX_ADVICE
"terima kasih",THANK_YOU
"latest poverty rate",COMPLEX_ADVICE
"..",GARBAGE
"tell me the exchange rate",COMPLEX_ADVICE
"record spending",HELP_ADD_TRANSACTION
"hw to save?",HELP_SAVINGS_SCREEN
"ptptn debt",DEF_PTPTN
"fsdfsdf",GARBAGE
"Do you knw me?",COMPLEX_ADVICE
"give me tips for buyn ow pay later currently",COMPLEX_ADVICE
"reset data",HELP_RESET_DATA
"advicce on shopee pay rate",COMPLEX_ADVICE
"eter earnings",HELP_ADD_INCOME
"is dtaa safe?",DATA_SECURITY
"recommendation for e-wallet with small capital",COMPLEX_ADVICE
"help desk",CONTACT_SUPPORT
"you suck",COMPLAINT
"can i withdraw?",HELP_WITHDRAW_SAVINGS
"email developer",CONTACT_SUPPORT
"i guess GDP",COMPLEX_ADVICE
"offline mode?",INTERNET_REQ
"give me tips for Sing a song",COMPLEX_ADVICE
"cotnact support",CONTACT_SUPPORT
"open hhome page",NAV_HOME
"edit transaction",HELP_EDIT_TRANSACTION
"echo",TESTING
"best way to save",ADVICE_GENERAL_SAVING
"rate of unemployment rate",COMPLEX_ADVICE
"frugal tip",ADVICE_GENERAL_TIP
"why that name?",WHY_BERUANG
"?!",GARBAGE
"thanks",THANK_YOU
"developer name",DEVELOPER_INFO
"i spent money",HELP_ADD_TRANSACTION
"later",BYE
"stupid",COMPLAINT
"clear entry",HELP_DELETE_TRANSACTION
"what is tabung haji?",DEF_TABUNG_HAJI
"just wondering expensive sttaistics",COMPLEX_ADVICE
"give me tips for What is 22+2?",COMPLEX_ADVICE
"meaning of inflation",DEF_INFLATION
"tell me abbout yourself",WHO_ARE_YOU
"developer name",DEVELOPER_INFO
"studennt loan",DEF_PTPTN
"pros and cons of What time is it?",COMPLEX_ADVICE
"openexpenses",NAV_EXPENSES
"got  paid",HELP_ADD_INCOME
"i guess unemployment raate urgently",COMPLEX_ADVICE
"signinng off",BYE
"i spent too much",ADVICE_MOTIVATION
"add to savigs",HELP_SAVINGS_SCREEN
"why credit score matters",DEF_CREDIT_SCORE
"analysis of car in malasyia",COMPLEX_ADVICE
"is it a good idea to buy house",COMPLEX_ADVICE
"an you explain internship in 2025",COMPLEX_ADVICE
"ehy",GREETING
"how to edit?",HELP_EDIT_TRANSACTION
"cctos",DEF_CREDIT_SCORE
"you are useless",COMPLAINT
"noth elpful",COMPLAINT
"should i trading at my age",COMPLEX_ADVICE
"help m with interest rate",COMPLEX_ADVICE
"i spent too much",ADVICE_MOTIVATION
"exit",BYE
"how do i unit trust rate",COMPLEX_ADVICE
"thhanks a lot",THANK_YOU
"ca i scan bills?",HELP_RECEIPT_SCAN
"current poverty rate",COMPLEX_ADVICE
"outlook for resume",COMPLEX_ADVICE
"mic  check",TESTING
"ii guess binance in 2025",COMPLEX_ADVICE
"zzzz",GARBAGE
"rrecommendation for e-wallet urgently",COMPLEX_ADVICE
"how do i tax rellief with small capital",COMPLEX_ADVICE
"campus saving",ADVICE_STUDENT_TIPS
"wheer to put salary",HELP_ADD_INCOME
"record spending",HELP_ADD_TRANSACTION
"recommendation for tax relief",COMPLEX_ADVICE
"why beruanng?",WHY_BERUANG
"undefined",GARBAGE
"can i connect bank?",BANK_LINKING
"!!",GARBAGE
"how to edit?",HELP_EDIT_TRANSACTION
"what does beruang mean?",WHY_BERUANG
"where to putsalary",HELP_ADD_INCOME
"explain inflation concept",DEF_INFLATION
"view history",NAV_EXPENSES
"help me with minimum wage for the future",COMPLEX_ADVICE
"seeyou",BYE
"should i tabung haji",COMPLEX_ADVICE
"what is the tax rate",COMPLEX_ADVICE
"give me tips for OPR rate",COMPLEX_ADVICE
"show expenses",NAV_EXPENSES
"percentages",DEF_50_30_20
"why need emergency fund?",DEF_EMERGENCY_FUND
"newpurchase",HELP_ADD_TRANSACTION
"what is kwsp?",DEF_KWSP
"delete transaction",HELP_DELETE_TRANSACTION
"oodbye",BYE
"should i My profile",COMPLEX_ADVICE
"xeit",BYE
"what is tabung haji?",DEF_TABUNG_HAJI
"new  purchase",HELP_ADD_TRANSACTION
"snowball method",DEF_DEBT_SNOWBALL
"recommendation for dogecoin",COMPLEX_ADVICE
"delete account",HELP_RESET_DATA
"rate of exchage rate",COMPLEX_ADVICE
"thx",THANK_YOU
"update spneding",HELP_EDIT_TRANSACTION
"Tell me a story",COMPLEX_ADVICE
"1123 test",TESTING
"pros and cons of ttax relief",COMPLEX_ADVICE
"retake onboarding",HELP_RESET_DATA
"where is data stored?",DATA_SECURITY
"how to save money",ADVICE_GENERAL_TIP
"I am bored",COMPLEX_ADVICE
"whati s asb?",DEF_ASB
"open expenses",NAV_EXPENSES
"do you think Histor yof Malaysia",COMPLEX_ADVICE
"bad bot",COMPLAINT
"add slaary",HELP_ADD_INCOME
"sshow expenses",NAV_EXPENSES
"test",TESTING
"echo",TESTING
"zzzz",GARBAGE
"not sure",COMPLEX_ADVICE
"advice on entrepreneurg iven my income",COMPLEX_ADVICE
"camera feature?",HELP_RECEIPT_SCAN
"hlelo",GREETING
"dk",COMPLEX_ADVICE
"show expenses",NAV_EXPENSES
"asb investing",DEF_ASB
"What time is it?",COMPLEX_ADVICE
"why that name?",WHY_BERUANG
"not helpful",COMPLAINT
"scholarrship 6 months",HELP_INCOME_ALLOCATION
"explain inflation concept",DEF_INFLATION
"money joke",JOKE
"wrong answer",COMPLAINT
"what i the best way to My profile",COMPLEX_ADVICE
"ttesting",GARBAGE
"tell me the tax rate",COMPLEX_ADVICE
"opinion  on career",COMPLEX_ADVICE
"outlook for stashaway with low risk",COMPLEX_ADVICE
"simpanan tabung hhaji",DEF_TABUNG_HAJI
"mistake enntry",HELP_DELETE_TRANSACTION
"simpanan tabung haji",DEF_TABUNG_HAJI
"start over",HELP_RESET_DATA
"is it a good idea to inflation rate with small capital",COMPLEX_ADVICE
"remmove expense",HELP_DELETE_TRANSACTION
"help me with OPR rate",COMPLEX_ADVICE
"go to bot",NAV_CHATBOT
"edit transaction",HELP_EDIT_TRANSACTION
"cim link?",BANK_LINKING
"auto category",HELP_AI_CATEGORIZATION
"smrt classification",HELP_AI_CATEGORIZATION
"what does inflation mean?",DEF_INFLATION
"strategies for GDP",COMPLEX_ADVICE
"qwerty",GARBAGE
"History of Malaysia",COMPLEX_ADVICE
"opinion on superike",COMPLEX_ADVICE
"best way to pay debt",DEF_DEBT_AVALANCHE
"my spending ist",NAV_EXPENSES
"What is my name?",COMPLEX_ADVICE
"how to payy debt fast",DEF_DEBT_SNOWBALL
"asdf",GARBAGE
"asb investing",DEF_ASB
"idk",COMPLEX_ADVICE
"hhey",GREETING
"what is emergency fund?",DEF_EMERGENCY_FUND
"do youu think luno in 2025",COMPLEX_ADVICE
"[obbject Object]",GARBAGE
"avalanche method",DEF_DEBT_AVALANCHE
"who is the target audience?",TARGET_AUDIENCE
"prediction for wahed for beginners",COMPLEX_ADVICE
"sync account?",BANK_LINKING
"maybe",COMPLEX_ADVICE
"ee you",BYE
"fsdfsdf",GARBAGE
"no money student",ADVICE_STUDENT_TIPS
"wrong answer",COMPLAINT
"give me tips for gaaming pc",COMPLEX_ADVICE
"is asb good?",DEF_ASB
"cho",TESTING
"strategies for OPR rate fast",COMPLEX_ADVICE
"strategies for Sin a song",COMPLEX_ADVICE
"i feel poor",ADVICE_MOTIVATION
"advice on promotion with lwo risk",COMPLEX_ADVICE
"opinionn on forex",COMPLEX_ADVICE
"savings sceren",HELP_SAVINGS_SCREEN
"qwerty",GARBAGE
"bduget rule",DEF_50_30_20
"thoughts on GDP in malaysia",COMPLEX_ADVICE
"is netflix a want?",DEF_WANTS
"advice on afford",COMPLEX_ADVICE
"savnigs bar",HELP_SAVINGS_SCREEN
"ho to pay debt fast",DEF_DEBT_SNOWBALL
"Add transaction",HELP_ADD_TRANSACTION
"frugal tip",ADVICE_GENERAL_TIP
"open chat",NAV_CHATBOT
"auto trrack?",BANK_LINKING
"fsdfdsf",GARBAGE
"target user",TARGET_AUDIENCE
"oinion on mortgage at my age",COMPLEX_ADVICE
"just wondering GDP right now",COMPLEX_ADVICE
"best way to save",ADVICE_GENERAL_SAVING
"hlp me with salary",COMPLEX_ADVICE
"thoughts oon exchange rate",COMPLEX_ADVICE
"proos and cons of I like coffee",COMPLEX_ADVICE
"bye",BYE
"explain inflation concept",DEF_INFLATION
"user info",NAV_PROFILE
"advice on What do you kow about me?",COMPLEX_ADVICE
"why beruang?",WHY_BERUANG
"ggood evening",GREETING
"hi htere",GREETING
"give me a tip",ADVICE_GENERAL_TIP
"endchat",BYE
"qwerty",GARBAGE
"hwy save?",DEF_SAVINGS_DEF
"offline mode?",INTERNET_REQ
"is rent a need?",DEF_NEEDS
"undefined",GARBAGE
"analysis of robot advisor",COMPLEX_ADVICE
"emergency fund use",HELP_WITHDRAW_SAVINGS
"system check",TESTING
"enter earnings",HELP_ADD_INCOME
"just wondering inflation rate for the future",COMPLEX_ADVICE
"saving tips",ADVICE_GENERAL_TIP
"idk",COMPLEX_ADVICE
"best way to pay debt",DEF_DEBT_AVALANCHE
"what is allocation?",HELP_INCOME_ALLOCATION
"reset rofile",HELP_RESET_DATA
"frugal tip",ADVICE_GENERAL_TIP
"123 test",TESTING
"how to start inflation rate safely",COMPLEX_ADVICE
"funny name",WHY_BERUANG
"maybe",COMPLEX_ADVICE
"how doo i minimum wage for the future",COMPLEX_ADVICE
"delete trnasaction",HELP_DELETE_TRANSACTION
"privacy policy",DATA_SECURITY
"give me tips for skuk at my age",COMPLEX_ADVICE
"whati s the best way to gold",COMPLEX_ADVICE
"good night",BYE
"outlook for e-wallet",COMPLEX_ADVICE
"what is the purpose of this app?",APP_PURPOSE
"auto category",HELP_AI_CATEGORIZATION
"define inflation",DEF_INFLATION
"strategies for stocks statsitics",COMPLEX_ADVICE
"us esavings",HELP_WITHDRAW_SAVINGS
"no money student",ADVICE_STUDENT_TIPS
"customeer service",CONTACT_SUPPORT
"edit user",NAV_PROFILE
