description,category,subcategory
鸡饭 (jīfàn),needs,Food & Beverage
beli baju raya yesterday,wants,Shopping
买菜 (mǎi cài) rm10,needs,Food & Beverage
hotel mahal,wants,Others
买奶茶 (boba)  bangsar rm50,wants,Food & Beverage
kasut nike baru credit,wants,Shopping
baskin robbins  midvalley,wants,Food & Beverage
klinik panel,needs,Others
kasut nike baru credit,wants,Shopping
tukar tayar kereta,needs,Transportation
spa dan urut,wants,Others
bayar duit kereta damansara,needs,Financial Services
beli ubat demam  kedai runcti cash,needs,Others
grabfood delivery klang,wants,Food & Beverage
spotify subscription  bangsar yesterday,wants,Entertainment
makan angin cash,wants,Others
买米 (mǎi mǐ),needs,Food & Beverage
去云顶 (genting) urgent,wants,Entertainment
genting highland trip,wants,Entertainment
miynak masak paket,needs,Food & Beverage
isi minyak keta  pavilion,needs,Transportation
diapers and milk,needs,Others
nasi lemak biasa rm100,needs,Food & Beverage
skincare haul,wants,Shopping
住酒店 (hotel) now,wants,Others
买米 (mǎi mǐ),needs,Food & Beverage
beg tangan coach  bangsar,wants,Shopping
beli ayam seekor,needs,Food & Beverage
喝星巴克 (starbucks),wants,Food & Beverage
கார் கடன் (car oan),needs,Financial Services
pay house rent cheras monthly,needs,Financial Services
zakat fitra damansara credit,needs,Financial Services
tiket sunway lagoon  bangsar,wants,Entertainment
bil unifi rumah kl monthl,needs,Telecommunication
鸡饭 (jīfàn)  bangsar,needs,Food & Beverage
maggi mee pack lagi,needs,Food & Beverage
buy cooking oil rm50,needs,Food & Beverage
iphone 15 pro,wants,Shopping
买米 (mǎi mǐ)  online tomorrow,needs,Food & Beverage
isi minyak kereta full klang urgent,needs,Transportation
去云顶 (genting,wants,Entertainment
付电费 (fù diànfèi) tomorrow,needs,Financial Services
bubble tea craving damansara,wants,Food & Beverage
tambang lrt rm10,needs,Transportation
iphon 15 pro,wants,Shopping
கார் பழுது (car repair),needs,Transportation
isi minyak kereta full now,needs,Transportation
பள்ளி கட்டணம் (schoo fee),needs,Others
lrt tiket monthly,needs,Transportation
new gadget,wants,Shopping
bayar duit kereta  kedai runcit,needs,Financial Services
போன் பில் (phon bill),needs,Telecommunication
网购 (online shopping),wants,Shopping
beli ubat demam cheras,needs,Others
mbyaar aek tomorrow,needs,Financial Services
充值 (top up) now,needs,Telecommunication
yuran tadika,needs,Others
beg angan coach,wants,Shopping
கார் கடன் (car loan) cheras tomorrow,needs,Financial Services
chicken rice for lunch  pavilion today,needs,Food & Beverage
买新衣服 (new clothes),wants,Shopping
durian musang king,wants,Food & Beverage
வீட்டு வாடகை (veettu vaadagai),needs,Financial Services
mekap watons,wants,Shopping
சோறு (soru)  pavilion,needs,Food & Beverage
மருத்துவர் (doctor),needs,Others
tudug duck klang,wants,Shopping
beli diamond mlbb,wants,Entertainment
打油 (dǎ yóu) tomorrow,needs,Transportation
bus fare,needs,Transportation
tukar tayar kereta,needs,Transportation
tukar phone baru  online,wants,Shopping
cukai pendapatan lhdn rm100,needs,Financial Services
concert tickets klang,wants,Entertainment
change enine oil monthly,needs,Transportation
பிரியாணி (briyani special) kl deposit,wants,Food & Beverage
打油 (dǎ yóu),needs,Transportation
kasut nike baru  bangsar,wants,Shopping
上网费 (shàngwǎng fèi),needs,Telecommunication
சினிமா (cinema),wants,Entertainment
ubat gigi,needs,Others
还车贷 (huán chēdài),needs,Financial Services
topup tepon,needs,Telecommunication
கார் பழுது (car repair),needs,Transportation
main bowling,wants,Entertainment
唱K (karaoke) rm100,wants,Entertainment
பால் (paal) lagi,needs,Food & Beverage
பள்ளி கட்டணம் (school fee),needs,Others
grab to work,needs,Transportation
makan tengahari nasi campur  online lagi,needs,Food & Beverage
minyak masak paket shah alam yesterday,needs,Food & Beverage
car service centre now,needs,Transportation
买手机 (buy phone)  at mall deposit,wants,Shopping
starbucks coffee,wants,Food & Beverage
gi pusing pusing,wants,Others
வீட்டு வாடகை (veettu vaadagai) damansara,needs,Financial Services
sayur pasar tani,needs,Food & Beverage
topup umobile,needs,Telecommunication
nangga wayang rm100,wants,Entertainment
ubat gigi,needs,Others
hiasn rumah,wants,Others
网购 (online shopping),wants,Shopping
tuition fees,needs,Others
bayar sewa ghugi for family,needs,Financial Services
喝星巴克 (starbucks)  bangsar monthly,wants,Food & Beverage
tukar tayar kereta  kedai runcit,needs,Transportation
minyak masak paket  online urgent,needs,Food & Beverage
buy medicine,needs,Others
住酒店 (hotel),wants,Others
tiket konsert klang,wants,Entertainment
ubat gigi penang,needs,Others
settle ptptn,needs,Financial Services
steam games,wants,Entertainment
karaoke,wants,Entertainment
看电影 (movie) cheras,wants,Entertainment
tukra phone baru kl,wants,Shopping
bayar api,needs,Financial Services
காய்கறி (kaaigari) shah alam,needs,Food & Beverage
ubat klinik,needs,Others
புதிய உடை (new dress) rm100,wants,Shopping
sabun basuh baju klang,needs,Others
杂饭 (záfàn,needs,Food & Beverage
பள்ளி கட்டணம் (school fee)  online for mom,needs,Others
korean bbq,wants,Food & Beverage
pizza hut delivery,wants,Food & Beverage
topup hotlink,needs,Telecommunication
ckai pendapatan lhdn,needs,Financial Services
servis aircond  kedai runcit for family,needs,Others
makan tengahari nasi campur  bangsr,needs,Food & Beverage
spotify subscription penang,wants,Entertainment
பஸ் கட்டணம் (bus fare)  keda runcit cash,needs,Transportation
topup tepon  at mall,needs,Telecommunication
nasi lemak biasa  bangsar for family,needs,Food & Beverage
吃火锅 (hotpot),wants,Food & Beverage
milk powder baby  pavilion deposit,needs,Food & Beverage
home decor,wants,Others
move tickets jb,wants,Entertainment
flight tickets shah alam,wants,Others
பர்கர் (burger),wants,Food & Beverage
பஸ் கட்டணம் (bus fare) for mom,needs,Transportation
holiday trip  online,wants,Others
bil elektrik tnb,needs,Financial Services
学费 (xuéfèi) today,needs,Others
reload prepaid,needs,Telecommunication
makan shellou jb,wants,Food & Beverage
买米 (mǎi mǐ),needs,Food & Beverage
shopping sogo for family,wants,Shopping
买奶茶 (boba),wants,Food & Beverage
hotel booking,wants,Others
tiket konsert,wants,Entertainment
iphone 15 pro,wants,Shopping
beli ubat demam monthly,needs,Others
买奶茶 (boba) kl now,wants,Food & Beverage
handbag luxury damansara rm100,wants,Shopping
renew roadtax rm50,needs,Financial Services
makan kfc family  midvalley,wants,Food & Beverage
beli baju raya,wants,Shopping
isi minyak keta damansara,needs,Transportation
car service centre  midvaley cash,needs,Transportation
网购 (onlne shopping),wants,Shopping
bayar api for mom,needs,Financial Services
鸡饭 (jīfàn) damansara,needs,Food & Beverage
pergi bercuti langkawi,wants,Others
网购 (online shopping),wants,Shopping
gi pusing pusing,wants,Others
bayar sewa ghugi  bangsar,needs,Financial Services
bayar bil clcom,needs,Telecommunication
yuran tadika,needs,Others
topup tepon tomorrow,needs,Telecommunication
beli ubat demam tomorrow,needs,Others
docor visit,needs,Others
学费 (xuéfèi) shah alam monthly,needs,Others
tiution fees for mom,needs,Others
buy cokoing oil,needs,Food & Beverage
iphone 15 pro  online,wants,Shopping
bayar sewa rmah,needs,Financial Services
hotel booking,wants,Others
bil eletrik tnb,needs,Financial Services
new sneakers,wants,Shopping
买新衣服 (new clothes),wants,Shopping
tukar tayar kereta,needs,Transportation
shopping mall,wants,Shopping
还车贷 (huán chēdài) credit,needs,Financial Services
beli jam tangan,wants,Shopping
topup hotlink,needs,Telecommunication
bayar bil celcom  bangsar,needs,Telecommunication
bayar sewa rumh  pavilion,needs,Financial Services
bil unifi rumah,needs,Telecommunication
tiket sunway lagoon,wants,Entertainment
nasi lemak biasa cheras,needs,Food & Beverage
home decor  at mall,wants,Others
makan shelolut,wants,Food & Beverage
பர்கர் (buregr),wants,Food & Beverage
நகை (jewellery),wants,Shopping
付房租 (fù fángzū tomorrow,needs,Financial Services
பரகர் (burger),wants,Food & Beverage
pergi bercuti langkawi kl tomorrow,wants,Others
makan shellout damansara,wants,Food & Beverage
சோறு (soru)  bangsar,needs,Food & Beverage
servis aircond jb,needs,Others
杂饭 (záfàn)  midvalley cash,needs,Food & Beverage
nambang bas  midvalley,needs,Transportation
beli ubat demam shah alam,needs,Others
ubat klinik,needs,Others
bil air syabas,needs,Financial Services
pizza hut delivery lagi,wants,Food & Beverage
parking ticket monthl,needs,Transportation
சினிமா (icnema),wants,Entertainment
காய்கறி (kaaigar)i,needs,Food & Beverage
இையம் (internet),needs,Telecommunication
tambang lrt,needs,Transportation
மரு்ததுவர் (doctor),needs,Others
durian musang king,wants,Food & Beverage
买米 (mǎi mǐ) klang,needs,Food & Beverage
buy medicine cash,needs,Others
mobile data plan kl for mom,needs,Telecommunication
பள்ளி கட்டணம (school fee),needs,Others
修车 (repair car)  kedai runcit,needs,Transportation
barang dapur basah,needs,Food & Beverage
修车 (repair car) deposit,needs,Transportation
school fees  online,needs,Others
去云顶 (genting) credit,wants,Entertainment
netflix bill,wants,Entertainment
maggi mee pack,needs,Food & Beverage
car detailing,wants,Others
starbucks coffee,wants,Food & Beverage
hotel mahal,wants,Others
tiket bas rapid damansara rm50,needs,Transportation
bil internet credit,needs,Telecommunication
cukai pendapatan lhdn,needs,Financial Services
lrt ticket monthly tomorrow,needs,Transportation
上网费 (shàngwǎng fèi)  at mall,needs,Telecommunication
steam game,wants,Entertainment
tukar tayar kereta penang,needs,Transportation
buy medicine shah alam,needs,Others
staycatio cash,wants,Others
karake,wants,Entertainment
bayar sewa ghugi klang rm10,needs,Financial Services
topup pubg,wants,Entertainment
cukai pendapatan lhdn tomorrow,needs,Financial Services
skincare haul tomorrow,wants,Shopping
makan angin,wants,Others
bayar maxis,needs,Telecommunication
netflix premium for mom,wants,Entertainment
buy cooking oil baru,needs,Food & Beverage
insurans nyawa,needs,Financial Services
beg tangan coach,wants,Shopping
isi minya kereta full,needs,Transportation
topu hotlink,needs,Telecommunication
beli beras 10kg lagi,needs,Food & Beverage
flight ticket,wants,Others
பர்கர் (burger) deposit,wants,Food & Beverage
toiletries jb,needs,Others
bayar bil celcom damansara for family,needs,Telecommunication
basuh kereta polish,wants,Others
修车 (repair car),needs,Transportation
bubble tea craving,wants,Food & Beverage
hotel booking  at mall,wants,Others
buy medicine,needs,Others
kredit telefon  bangsar,needs,Telecommunication
சோறு (soru) today,needs,Food & Beverage
makan angin,wants,Others
tiket konsert cheras credit,wants,Entertainment
baskin robbins baru,wants,Food & Beverage
genting highland trip,wants,Entertainment
reload tng ewallet for mom,needs,Transportation
hotel mahal for family,wants,Others
hotel booking,wants,Others
spa dan urut,wants,Others
நகை (jewellery lagi,wants,Shopping
genting highland trip,wants,Entertainment
bayar api  pavilion,needs,Financial Services
pay digi bill credit,needs,Telecommunication
tukar tayar kereta,needs,Transportation
grab to work rm100,needs,Transportation
tambah nilai tng damansara,needs,Transportation
reloa tng ewallet,needs,Transportation
topup tepon for mom,needs,Telecommunication
tiket konsert  pavilion for mom,wants,Entertainment
买菜 (mǎi cài) penang,needs,Food & Beverage
bayar tpptn,needs,Financial Services
கார் கடன் (car loan),needs,Financial Services
staycation shah alam,wants,Others
bublbe tea craving,wants,Food & Beverage
இணையம் (internet)  kedai runcit credit,needs,Telecommunication
喝星巴克 (strbucks) now,wants,Food & Beverage
starbucks coffee,wants,Food & Beverage
电话费 (diànhuà fèi),needs,Telecommunication
买手机 (buy phone) credit,wants,Shopping
reload prepaid,needs,Telecommunication
சினிமா (cinema),wants,Entertainment
buy cooking oil cheras,needs,Food & Beverage
tengok wayang jb,wants,Entertainment
bayar hutang rm10,needs,Financial Services
topup pubg,wants,Entertainment
bayar maxis kl,needs,Telecommunication
beli diamond mlbb shah alam,wants,Entertainment
鸡饭 (jīàfn) shah alam,needs,Food & Beverage
bread and eggs deposit,needs,Food & Beverage
beg tangan coach,wants,Shopping
புதிய உடை (new dress) lagi,wants,Shopping
ubat gigi,needs,Others
shopee 11.1,wants,Shopping
mcdonalds set  bangsar,wants,Food & Beverage
上网费 (shàngwǎng fèi),needs,Telecommunication
ngeteh mahal,wants,Food & Beverage
shoppin sakan lagi,wants,Shopping
diapers and milk,needs,Others
isi minyak kereta full jb deposit,needs,Transportation
kasut nike baru,wants,Shopping
kek secret recipe rm10,wants,Food & Beverage
hotel booking damansara,wants,Others
cukai pendapatan lhdn credit,needs,Financial Services
car detailing for mom,wants,Others
sayur manis tomorrow,needs,Food & Beverage
new sneakers,wants,Shopping
plumbing repair rm50,needs,Others
做SPA shah alam for family,wants,Others
pay insurance,needs,Financial Services
tukar phone baru,wants,Shopping
bayar sewa rumah jb,needs,Financial Services
renew roadtax,needs,Financial Services
diapers and milk for mom,needs,Others
bil air syabs  pavilion,needs,Financial Services
buy medicine rm50,needs,Others
mobile data plan,needs,Telecommunication
imnyak masak paket  kedai runcit,needs,Food & Beverage
tuition fees  midvalley urgent,needs,Others
minyak masak paket,needs,Food & Beverage
diapers and milk,needs,Others
நகை (jewellery)  bangsar,wants,Shopping
பெட்ரோல (petrol),needs,Transportation
நகை (jewellery),wants,Shopping
杂饭 (záfàn),needs,Food & Beverage
hiasan rumah yesterday,wants,Others
喝星巴克 (starbucks)  midvalley,wants,Food & Beverage
bayar api cash,needs,Financial Services
sabun basuh baju,needs,Others
minyak muto jb,needs,Transportation
beli data,needs,Telecommunication
买菜 (mǎi cài)  kedai runcit,needs,Food & Beverage
staycation monthl,wants,Others
holiday bali,wants,Others
bil unifi rumah for family,needs,Telecommunication
பள்ளி கட்டணம் (school fee),needs,Others
வீட்டு வாடகை (veettu vaadagai,needs,Financial Services
inurans nyawa,needs,Financial Services
makan angin  bangsar,wants,Others
mekap watsons depost,wants,Shopping
toiletries penang,needs,Others
nasi lemak biasa  bangsar,needs,Food & Beverage
chicken rice for lunch,needs,Food & Beverage
gi jala jalan monthly,wants,Entertainment
கார் கடன் (car loan) rm10,needs,Financial Services
tuition fees  kedai runcit deposit,needs,Others
make nasik berlauk for family,needs,Food & Beverage
grabfood deliery jb,wants,Food & Beverage
住酒店 (hotel),wants,Others
nasi lemak biasa,needs,Food & Beverage
买菜 (mǎi cài) rm10,needs,Food & Beverage
parking ticket deposit,needs,Transportation
topup tepon for family,needs,Telecommunication
买药 (mǎi yào),needs,Others
renew roadtax now,needs,Financial Services
买新衣服 (new clothes) cash,wants,Shopping
bread and eggs  midvalley rm10,needs,Food & Beverage
change enigne oil today,needs,Transportation
flight ticktes,wants,Others
唱K (karaoke),wants,Entertainment
yuran tadika  bangsar,needs,Others
new gadget klang,wants,Shopping
grab to work,needs,Transportation
makan shellout,wants,Food & Beverage
போன் பில் (phone bill)  online,needs,Telecommunication
nambang bas,needs,Transportation
settle ptptn,needs,Financial Services
new sneakers jb rm50,wants,Shopping
买菜 (mǎi cài),needs,Food & Beverage
tambah nilai tng  at mall deposit,needs,Transportation
barang dapur basah rm50,needs,Food & Beverage
付房租 (fù fángzū),needs,Financial Services
வீட்டு வாடகை (veettu vaadagai) urgent,needs,Financial Services
main game jb cash,wants,Entertainment
ubat gigi,needs,Others
கார் கடன் (car loan),needs,Financial Services
tambah nilai tng,needs,Transportation
beli baju raya,wants,Shopping
minyak muto,needs,Transportation
kasut nike baru,wants,Shopping
மருத்துவர் (doctor),needs,Others
மருத்துவர் (doctor)  at mall,needs,Others
bubble tea craving,wants,Food & Beverage
korean bbq,wants,Food & Beverage
mobile data plan,needs,Telecommunication
சோறு (oru) deposit,needs,Food & Beverage
ubat klinik,needs,Others
karaoke night shah alam,wants,Entertainment
topup touch n go,needs,Transportation
buy medicine,needs,Others
bayar keta cheras,needs,Financial Services
beli ubat demam cash,needs,Others
lrt ticket monthly  kedai runcit,needs,Transportation
buy medicine cheras,needs,Others
lfight tickets,wants,Others
அரிசி (arisi) klang,needs,Food & Beverage
minum starbucks,wants,Food & Beverage
flight tickets,wants,Others
hiasan rumah,wants,Others
做SPA damansara,wants,Others
staycation today,wants,Others
pay digi bill,needs,Telecommunication
pump petrol lagi,needs,Transportation
buy groceries giant cheras,needs,Food & Beverage
zakat iftrah,needs,Financial Services
diaper and milk,needs,Others
makan angin  pavilion,wants,Others
bil internet  pavilion,needs,Telecommunication
பிரியாி (briyani special) for mom,wants,Food & Beverage
holiday bali  midvalley rm100,wants,Others
grabfood deliver,wants,Food & Beverage
beli lauk  bangsar rm100,needs,Food & Beverage
data reload jb,needs,Telecommunication
yuran sekolah anak for mom,needs,Others
topup touch n go kl credit,needs,Transportation
喝星巴克 (starbucks) klang,wants,Food & Beverage
makan tengahari nasi campur crdit,needs,Food & Beverage
diapers and milk,needs,Others
பள்ளி கட்டணம் (school fee)  online rm100,needs,Others
korean bbq,wants,Food & Beverage
tnb bill payment,needs,Financial Services
kek secrt recipe  bangsar,wants,Food & Beverage
makan shellout,wants,Food & Beverage
change engine oil,needs,Transportation
pzza hut delivery,wants,Food & Beverage
fnacy dinner,wants,Food & Beverage
ப்கர் (burger) penang for family,wants,Food & Beverage
去云顶 (genting),wants,Entertainment
sayu pasar tani,needs,Food & Beverage
shopping mall,wants,Shopping
genting highland trip kl deposit,wants,Entertainment
hotel ahal,wants,Others
tiekt flight,wants,Others
car detailing klang today,wants,Others
சினிமா (cinema shah alam,wants,Entertainment
shopee 11.11 damansara,wants,Shopping
bayar maxis baru,needs,Telecommunication
beli data deposit,needs,Telecommunication
付过路费 (tol),needs,Transportation
spa package monthly,wants,Others
buy cooking oil  kedai runcit monthly,needs,Food & Beverage
barang dapur basah rm100,needs,Food & Beverage
milk powder baby rm100,needs,Food & Beverage
杂饭 (záfàn)  bangsar urgent,needs,Food & Beverage
beli data rm50,needs,Telecommunication
korean bbq rm100,wants,Food & Beverage
鸡饭 (jīfàn),needs,Food & Beverage
data reload today,needs,Telecommunication
mobile data plan,needs,Telecommunication
beli pampers anak shah alam rm50,needs,Others
买药 (mǎi yào),needs,Others
shopee 11.1 rm10,wants,Shopping
买米 (mǎi mǐ) kl,needs,Food & Beverage
spa dan urut for mom,wants,Others
bayar keta,needs,Financial Services
make nasik berlauk  kedai runcit,needs,Food & Beverage
minyka muto now,needs,Transportation
maggi mee pack cheras,needs,Food & Beverage
main bowling,wants,Entertainment
beli diamnod mlbb,wants,Entertainment
iphone 15 pro shah alam deposit,wants,Shopping
买奶茶 (obba),wants,Food & Beverage
pay digi bill baru,needs,Telecommunication
makan angi,wants,Others
beli sabun basuh penang,needs,Others
bil elektrik tnb,needs,Financial Services
milk powder baby  midvalley rm50,needs,Food & Beverage
nangg wayang,wants,Entertainment
topup hotlink damansara,needs,Telecommunication
bayar duit kereta,needs,Financial Services
steam games  online yesterday,wants,Entertainment
ubat gigi,needs,Others
spotify subscription rm10,wants,Entertainment
வீட்டு வாடகை (veettu vaadagai),needs,Financial Services
beli ayam seekor lagi,needs,Food & Beverage
sabun basuh baju  bangsar,needs,Others
barang dapur basah,needs,Food & Beverage
beli air boba  at mall,wants,Food & Beverage
beli pampers anak cheras rm10,needs,Others
打油 (dǎ yóu),needs,Transportation
இணையம் (internet) jb,needs,Telecommunication
flight tickets,wants,Others
去云顶 (genting) yesterday,wants,Entertainment
pizza hut delivery penang,wants,Food & Beverage
付房租 (fù fángzū),needs,Financial Services
spa pakcage  pavilion,wants,Others
karaoke shah alam,wants,Entertainment
bayar api jb,needs,Financial Services
去旅行 (travel) for family,wants,Others
cukai pendapatan lhdn  pavilion,needs,Financial Services
பிரியாணி (briyan special),wants,Food & Beverage
nangga wayang,wants,Entertainment
holiday bali damansara urgent,wants,Others
pay car loan,needs,Financial Services
修车 (repair car),needs,Transportation
doctor ivsit klang,needs,Others
买药 (mǎi yào) baru,needs,Others
பீஸ்ஸா (pizza) monthly,wants,Food & Beverage
காய்கறி (kaaigari) deposit,needs,Food & Beverage
makan tengahari nasi campur today,needs,Food & Beverage
yuran tadika monthly,needs,Others
买米 (mǎi mǐ),needs,Food & Beverage
மருத்துவர் (doctor)  online monthly,needs,Others
kek secret recipe,wants,Food & Beverage
change engine oil,needs,Transportation
starbucks coffee  midvalley mnthly,wants,Food & Beverage
car detailing,wants,Others
basuh kereta polish  at mall,wants,Others
kasut nike baru,wants,Shopping
barang dapur basah,needs,Food & Beverage
beli baju raya,wants,Shopping
spa dan urut  at mall,wants,Others
beli lauk,needs,Food & Beverage
langgan netflix,wants,Entertainment
shopping sogo,wants,Shopping
去云顶 (genting),wants,Entertainment
tukar taya kereta  midvalley rm100,needs,Transportation
pay digi bill,needs,Telecommunication
காய்கறி (kaaigari),needs,Food & Beverage
pay insurance  at mall,needs,Financial Services
beli data,needs,Telecommunication
new gadget,wants,Shopping
mboile data plan now,needs,Telecommunication
renew roadtax klan,needs,Financial Services
diapers and milk,needs,Others
ubat gigi,needs,Others
上网费 (shàngwǎng fèi),needs,Telecommunication
chicken rice for lunch  bangsar,needs,Food & Beverage
bayar sewa ghugi rm50,needs,Financial Services
tambang lrt lagi,needs,Transportation
beli pampers anak,needs,Others
电话费 (diànhà fèi),needs,Telecommunication
movie tickets,wants,Entertainment
bayar bil celcom cash,needs,Telecommunication
போன் பில் (phoe bill) rm10,needs,Telecommunication
买手机 (buy phone) damansara,wants,Shopping
tiket sunway lagoon damansara,wants,Entertainment
打油 (dǎ yóu),needs,Transportation
வீட்டு வாடகை (veettu vaadagai),needs,Financial Services
tiket bas rapid  bangsar,needs,Transportation
beli baju raya urgent,wants,Shopping
topup tepon penang baru,needs,Telecommunication
மருத்துவர் (dctor),needs,Others
பால் (paal),needs,Food & Beverage
bayar maxis cash,needs,Telecommunication
போன் பில் (phone bill) monthly,needs,Telecommunication
karaoke  kedai runcit,wants,Entertainment
korean bbq,wants,Food & Beverage
tiket sunway lagoon deposit,wants,Entertainment
yuran tadika,needs,Others
做SPA,wants,Others
அரிசி (arisi) lagi,needs,Food & Beverage
bil internet deposit,needs,Telecommunication
நகை (jewellery,wants,Shopping
nasi lema biasa,needs,Food & Beverage
ubat gigi,needs,Others
topup touch n go kl credit,needs,Transportation
home decor,wants,Others
home decor,wants,Others
grabfood delivery,wants,Food & Beverage
doctor visit,needs,Others
netflix bill yesterday,wants,Entertainment
isi minyak motor,needs,Transportation
bayar sewa ghugi ysterday,needs,Financial Services
main bowling  kedai runcit urgent,wants,Entertainment
beli sabun basuh,needs,Others
பீஸ்ஸா (pizza),wants,Food & Beverage
mobile data plan,needs,Telecommunication
住酒店 (hotel)  kedai runcit,wants,Others
bil internet,needs,Telecommunication
basuh kereta polish  midvalley,wants,Others
பால் (paal),needs,Food & Beverage
hotel mahal damansara,wants,Others
beli beras 10kg,needs,Food & Beverage
spa dan urut  bangsar urgent,wants,Others
mekap watsons shah alam,wants,Shopping
yuran tadika shah alam,needs,Others
servis aircond for family,needs,Others
movie tickets  midvalley urgent,wants,Entertainment
pay house rent,needs,Financial Services
plumbing repair  at mall today,needs,Others
买米 (mǎi mǐ) credit,needs,Food & Beverage
beli data  midvalley,needs,Telecommunication
hotel mahal,wants,Others
staycation for family,wants,Others
cukai pendapatan lhdn,needs,Financial Services
看医生 (kàn yīshēng),needs,Others
netflix premium,wants,Entertainment
ubat gigi,needs,Others
